TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,56,RNC,Arconic Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,57,JG,Arthur J. Gallagher & Co.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,58,IZ,Assurant Inc.,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,59,,AT&T Inc.,Telecommunication Services,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,60,DSK,Autodesk Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,61,DP,Automatic Data Processing,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,62,ZO,AutoZone Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,63,VB,"AvalonBay Communities, Inc.",Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,64,VY,Avery Dennison Corp,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,65,HGE,"Baker Hughes, a GE Company",Energy,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,66,LL,Ball Corp,Materials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,67,AC,Bank of America Corp,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,68,AX,Baxter International Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,69,BT,BB&T Corporation,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,70,DX,Becton Dickinson,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,71,RK.B,Berkshire Hathaway,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,72,BY,Best Buy Co. Inc.,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,73,IIB,Biogen Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,74,LK,BlackRock,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,75,RB,Block H&R,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,76,A,Boeing Company,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,77,KNG,Booking Holdings Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,78,WA,BorgWarner,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,79,XP,Boston Properties,Real Estate,0,,,2019-12-30 19:30:30.107017,
